subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
102,5,5,5,5,5,7,5,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,,,,,,,,,,,,
103,7,7,5,6,5,5,6,5,5,5,7,7,7,7,7,6,6,6,6,5,7,6,6,5,5,7,7,7,7,7,7,7,7,7,,
104,7,7,7,6,7,8,8,8,10,10,7,8,9,9,7,7,8,7,7,10,10,8,6,7,5,6,7,4,10,10,9,8,8,,,
119,4,4,5,5,5,4,4,4,5,5,5,4,4,6,6,4,4,5,5,5,5,7,5,7,6,5,4,4,6,6,5,6,6,6,6,
128,1,1,1,1,1,2,2,1,2,4,3,4,1,2,3,3,2,4,2,3,4,3,1,2,1,1,2,2,2,3,4,2,2,3,,
138,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,,,,,,
139,6,5,5,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,7,7,8,8,7,8,9,11,12,10,10,10,12,
141,3,5,5,5,5,4,4,5,7,7,7,7,6,7,7,7,6,6,7,7,8,7,7,7,7,7,7,7,8,8,7,7,7,7,7,
150,2,2,2,3,3,3,3,2,4,4,3,2,2,3,3,3,4,4,2,2,3,3,4,4,4,5,5,4,4,4,4,6,4,4,4,
158,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,3,4,3,1,3,4,4,3,2,4,2,2,3,4,4,4,,,
165,4,4,5,7,5,6,7,7,7,6,7,7,6,7,6,5,6,7,6,4,7,7,5,5,7,7,6,6,6,7,7,7,6,7,,
171,5,7,7,4,4,4,6,7,6,6,7,7,7,7,7,4,5,7,7,7,7,7,6,7,8,8,7,7,7,8,7,7,,,,
183,6,5,6,6,7,7,6,6,7,7,7,7,7,7,6,7,7,7,6,7,7,6,6,5,7,7,7,7,7,,,,,,,
193,3,4,5,7,5,7,4,4,4,4,5,6,7,6,7,7,7,7,7,7,7,5,7,7,7,7,7,7,5,,,,,,,
199,4,4,4,4,4,5,5,5,4,4,5,4,5,6,4,5,4,4,4,4,5,5,5,4,4,5,4,5,5,5,4,4,5,6,4,
216,5,5,4,4,5,5,5,5,6,7,7,5,4,7,7,7,7,7,6,7,6,6,7,6,7,7,7,7,7,7,6,7,7,6,,
222,4,5,4,4,4,4,4,5,5,5,5,5,5,5,6,6,5,4,6,6,6,7,7,7,5,6,7,6,6,5,7,7,6,5,,
224,5,6,5,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,
236,4,4,5,5,5,7,7,6,6,6,7,7,7,7,7,7,8,8,7,7,8,8,7,7,8,9,9,10,8,8,9,8,8,7,,
253,3,3,4,4,2,2,2,2,2,1,2,3,1,1,2,2,1,1,1,1,1,1,3,2,2,1,1,2,2,2,3,3,,,,
270,5,5,7,6,7,8,7,6,7,6,6,6,6,7,7,7,7,6,8,7,7,8,7,7,7,9,8,7,7,7,7,7,,,,
277,7,8,10,10,11,11,11,11,12,10,11,11,10,8,7,8,7,7,7,7,7,7,7,7,7,7,6,6,4,4,6,7,8,,,
309,4,4,3,4,4,3,3,5,4,1,5,3,2,4,4,2,3,2,3,3,2,2,3,4,2,2,4,3,6,5,,,,,,
317,4,4,4,4,4,5,5,4,4,5,5,5,4,7,6,5,6,4,5,4,5,6,4,5,5,5,5,6,6,5,,,,,,
321,5,7,6,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,8,7,7,8,7,7,8,7,,,,
340,4,4,4,4,4,4,4,5,5,5,6,7,6,5,7,7,5,6,4,6,6,6,7,7,6,6,7,7,7,7,7,6,7,7,,
345,7,7,7,8,7,8,8,9,10,8,10,10,9,9,10,11,11,11,12,13,13,12,12,13,13,11,11,10,12,12,10,10,10,11,11,11
369,4,6,7,7,7,8,7,7,7,7,8,7,8,9,10,7,7,8,9,10,8,8,7,10,9,9,10,9,10,9,9,8,8,9,10,
399,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
271,4,4,4,4,4,5,3,4,4,4,4,2,5,5,5,4,3,4,3,5,5,5,5,4,4,5,5,4,4,5,4,5,6,5,5,
323,5,7,7,7,7,7,7,7,7,7,7,7,5,8,7,7,7,6,7,6,7,7,7,7,6,7,7,7,7,6,7,7,8,8,,
358,5,6,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,7,7,7,8,7,7,7,7,7,7,7,,,,
