JD1,JD2,JD3,JD4,JD5,JD6,JD7,JD8,JD9,JD10,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,LNS1,LNS2,LNS3,LNS4,LNS5,LNS6,LNS7,LNS8,LNS9,LNS10,LNS11,Nback1,Nback2,Nback3,Nback4,Nback5,Nback6,Nback7,Nback8,Nback9,Nback10,Rspan1,Rspan2,Rspan3,Rspan4,Rspan5,Rspan6,Rspan7,Rspan8,Rspan9,Rspan10
834,730,792,594,708,1680,844,1998,1048,.,1.1,3.4,4,3.1000005,6,6,6,4.142858,8,8,1.55,2.6,3.22,4.35,4.98,4.24,4.27,5.36,5.62,6.3,2.014706,3.27907,3.1,5.3599995,4.7264145,6.1636365,6.944444,8.034482,5.927272,8.938776,1.88,2.16,2.15,2.22,2.28,2.28,2.25,2.28,2.18,,1.33,1.57,1.78,1.68,1.91,2.1,2.12,2.05,2.15,2.09,,1.29,1.54,3.04,3.33,3.37,3.07,2.93,3.11,3.26,3.59,2.37,2.93,3.12,3.4,3.4,3.7,3.66,3.69,3.73,4.03
798,698,1902,804,1192,2622,574,1112,2056,.,1.15,3.714286,4,3.3,6,6,6,4.82353,8,8,1.91,3.42,3.7,5.11,4.9,5.3,4.76,6.41,6.36,6.49,2.5,3.148936,3.633333,5.333334,5.016393,4.5491805,6.898876,6.875,6.436364,9.688888,1.89,2.31,2.28,2.31,2.28,2.28,2.36,2.5,2.41,2.44,1.65,2.09,2.25,2.31,2.4,2.38,2.38,2.35,2.37,2.46,,1.96,2.41,2.74,3.07,3.19,3.59,3.63,2.74,2.81,3.89,2.96,4.16,4.3,4.3,4.43,4.43,4.23,4.26,4.44,4.5
820,858,702,1476,782,890,1034,1042,1690,.,1.052632,3.333333,4,3,5.5000005,6,6,4.142858,8,8,1.67,2.42,3.38,4.03,3.98,4.36,4.13,6.05,4.64,5.37,2.943396,3.02,3.347826,5.136987,3.3829785,3.2844825,5.394736,6.037736,7.153846,3.768116,1.71,2.25,2.19,2.19,1.88,1.84,1.3,1.84,2.13,2.17,1.38,1.6,1.58,1.53,1.43,1.63,1.75,1.47,1.8,1.4,,1.19,1.71,2.33,1.19,1,1,1,1,1,1,2.92,4,3.22,3.85,3.66,3.22,3.83,3.18,2.93,3.46
942,744,962,876,724,2680,1444,1002,1442,.,1.318182,4,4,3.6176475,6,6,6,4.82353,8,8,1.98,3.64,3.81,6.39,5.58,5.88,5,8.52,8.54,8.65,2.538462,3.767442,3.068966,4.5740745,4.4711535,7.038462,6.5,6.307692,9.8,8.631578,2,2.31,,2.34,2.38,,2.28,2.41,,2.34,1.74,2.23,2.27,2.38,2.56,2.38,2.33,2.33,2.4,2.51,,1.5,2.42,3.59,5.19,6.15,6.48,6.81,7.11,7.81,8.56,3.13,4.33,3.66,4.13,4.15,4.5,4.52,4.5,4.48,4.43
738,594,702,1460,1032,1102,848,752,1874,.,1.052632,3.571429,4,3.3,6,6,6,4.625,8,8,1.89,3.29,3.68,5.2,6.2,6.94,5.13,8.06,7.96,8.65,2.824561,2.030303,2.121212,5.2592595,3.545454,7.02,4.673684,4.680852,8.121212,4.275862,1.6,2.13,2.19,,,2.13,,2.15,2.22,2.31,1.55,1.9,2.22,2.15,2.23,2.22,2.14,2.27,2.3,2.29,,1.17,1.15,2,2.33,2.78,2.67,2.63,3.07,4.07,5.15,2.96,3.92,3.96,4.11,3.92,4.22,4,4.09,4.2,3.87
710,732,684,744,1410,968,736,2062,.,.,1.15,3.666667,4,3.46875,6,6,6,4.4,8,.,1.7,2.71,3.25,4.1,3.2,4.35,5.25,4.94,5.89,6.13,2.142857,3.744186,3.448276,6.3113205,4.8344595,.,5.583334,7.772728,6.227272,8.40909,1.73,2.04,2.16,2.25,2.28,2.31,2.31,2.32,2.34,,1.43,1.41,1.55,1.63,1.66,1.89,1.63,1.6,1.56,1.73,,1.95,2.22,1.15,1,2.33,3.04,3.19,,,,2.67,3.63,3.37,3.48,3.74,3.7,3.33,3.69,3.62,3.36
954,722,1486,778,2464,794,1110,1008,294,.,1.238095,3.857143,4,3.1875,6,6,6,5,8,8,1.82,3.25,3.64,4.97,5.23,5.23,4.64,6.53,6.67,5.96,2.619718,3.647059,3.21875,5.52,4.361538,5.7321435,6.150538,5.323076,8.08,8.526316,1.92,2.25,2.28,2.2,2.28,2.36,2.39,2.34,2.33,2.36,1.77,2.48,2.57,2.5,2.51,2.67,2.78,3.12,3.18,3.12,,1.94,2.5,3.41,4.67,5.74,7.19,7.85,8.39,8.52,8.33,3.74,4.03,4.1,3.81,4.33,3.83,4.51,4.46,4.2,4.36
948,1934,866,1426,1414,1560,1224,1290,.,.,1.15,3.6,4,3.3,6,6,6,4.625,8,8,1.69,2.05,4.91,3.59,4.58,4.7,3.96,5.83,6.59,6.7,2.515625,3.4,3.063291,5.7,4.595745,5.288136,5.069768,9.04,5.73077,6.333334,,,,,,,,,,,1.87,2.28,2.44,2.44,2.36,2.4,2.34,2.42,2.33,2.35,,2.86,3.7,4.44,4.37,4.63,4.78,6.07,7.11,7.33,6.74,2.92,4.07,4,3.78,3.66,4.22,4.52,3.37,3.85,3.83
766,812,872,854,816,1196,2568,1320,2048,.,1.238095,3.833333,4,3.46875,6,6,6,4.82353,8,8,1.93,3.53,3.56,4.93,6.12,5.21,4.62,7.14,8.43,8.48,2.536232,2.953488,4.178571,5.024097,3.792453,7.0000005,6.469136,6.12,7.24,9.028572,2.03,2.32,2.47,2.41,2.5,2.5,,2.47,2.5,2.44,1.89,2.26,2.33,2.3,2.26,2.28,2.28,2.38,2.4,2.31,,1.9,2,2.52,2.96,3.22,3.04,3.3,3.37,3.81,4.44,3.18,3.85,4.4,4.22,4.4,4.58,4.42,4.3,4.44,4.33
892,872,792,666,554,1988,1210,1108,1964,.,0.95,3.571429,4,3.6176475,6,6,6,4.82353,8,8,1.97,3.34,3.6,5.31,5.27,5.23,4.83,6.89,6.82,7.5,2.676923,3.179104,3.3375,4.916667,6.272727,3.7333335,6.522728,3.967214,5.107142,7.37255,2,2.33,2.28,2.42,2.33,2.54,2.6,2.5,2.38,2.42,1.78,2.6,2.63,2.63,2.83,3.23,3.33,3.44,3.4,3.33,,2.44,2.88,3.38,4.43,5.13,5.44,5.96,6.15,6,6.41,3.9,3.74,4,4.09,4.04,4.25,3.9,4.09,4.5,4.33
