countries,murderrate,percent_pastures,gini_usethis,GNPpercapita,Cookd,dffits,eliminate cooks,eliminate dffits,eliminate by univar
Poland,1.64,0.134150348,31.6,16200,0.0363,0.3877,0,1,0
Malaysia,2.36,0.008674479,49.2,14400,0.0474,-0.4389,1,0,0
Romania,2.35,0.215445562,30.3,11100,0.1518,-0.7924,1,0,0
Bolivia,2.82,0.311984729,44.7,4400,0.4225,1.5941,1,1,0
Denmark,0.8,0.084374263,24.7,37400,0.0478,0.46,1,1,0
Kazakhstan,16.33,0.685624329,31.3,10400,0.0485,0.4545,1,1,0
Mauritius,2.56,0.034482759,39,11900,0.048,0.4396,1,1,0
Turkmenistan,8.06,0.653288788,40.8,9200,0.3217,1.2175,1,1,0
Colombia,62.74,0.363352862,57.6,7200,0,0.0117,0,0,1
South_Africa,47.53,0.691066885,59.3,10600,0.0002,-0.0265,0,0,1
