"V1","exp","Q18_1","Q18_2","Q18_3","Q22","Q23","Q24","Q25","Q26_1","Q26_2","Q26_3","Q39_1","Q62","Q63"
"R_bw7psWTLSyMYvwV","5",15,50,85,10,4,0,20,21,6,15,36,0,20
"R_bw7psWTLSyMYvwV","6",20,40,70,8,8,1,10,10,40,70,46,0,10
"R_bw7psWTLSyMYvwV","7",23,51,79,30,30,1,300,30,51,82,23,1,300
"R_bw7psWTLSyMYvwV","8",7,35,63,300,300,30,1200,17,43,66,61,60,900
"R_bw7psWTLSyMYvwV","9",20,50,80,5,5,1,10,20,50,80,51,1,10
"R_cBFXegSdg8ujddP","1",20,30,40,10,13,10,20,20,20,20,40,7,15
"R_cBFXegSdg8ujddP","11",40,40,80,5,4,2,4,40,60,80,20,3,5
"R_cBFXegSdg8ujddP","4",30,50,50,3,5,3,5,40,80,80,80,3,4
"R_cBFXegSdg8ujddP","5",50,70,100,5,0,0,3,60,60,60,10,3,5
"R_cBFXegSdg8ujddP","6",20,35,50,4,7,5,8,55,60,60,30,4,6
"R_cBFXegSdg8ujddP","7",75,100,100,5,5,3,10,75,100,100,0,3,10
"R_cBFXegSdg8ujddP","8",10,40,80,600,840,780,900,20,50,75,80,420,900
"R_cBFXegSdg8ujddP","9",40,60,90,5,7,3,10,20,50,80,80,1,10
"R_cO9fKgIhmIcTvGB","1",60,70,90,20,10,5,15,50,70,90,30,10,25
"R_cO9fKgIhmIcTvGB","11",50,90,100,4,3,1,4,40,50,90,75,2,5
"R_cO9fKgIhmIcTvGB","4",40,75,91,4,4,3,5,10,80,97,70,2,4
"R_cO9fKgIhmIcTvGB","5",30,50,75,10,12,7,17,40,75,90,40,7,15
"R_cO9fKgIhmIcTvGB","6",30,50,80,3,5,0,8,60,75,90,50,0,7
"R_cO9fKgIhmIcTvGB","7",60,90,95,180,120,60,240,50,90,97,10,90,300
"R_cO9fKgIhmIcTvGB","8",1,3,5,7,420,300,1000,1,5,10,30,5,10
"R_cO9fKgIhmIcTvGB","9",40,50,80,7,7,4,9,30,40,80,90,2,9
"R_cSZzgkTjEXcwAN7","1",58,84,93,13,13,3,28,43,69,90,43,3,28
"R_cSZzgkTjEXcwAN7","11",39,76,89,2,2,1,5,36,64,83,44,1,5
"R_cSZzgkTjEXcwAN7","4",31,52,97,2,2,1,7,27,75,84,62,1,6
"R_cSZzgkTjEXcwAN7","5",58,86,95,10,10,2,20,50,85,96,8,2,20
"R_cSZzgkTjEXcwAN7","6",50,83,99,2,2,1,3,85,65,97,12,1,3
"R_cSZzgkTjEXcwAN7","7",42,25,52,10,4,2,16,38,18,83,65,2,16
"R_cSZzgkTjEXcwAN7","8",35,58,53,8,8,5,15,37,60,77,43,6,15
"R_cSZzgkTjEXcwAN7","9",39,10,89,4,2,1,10,40,10,90,50,1,9
"R_cwEUmBwJBVQo9kV","1",30,50,80,13,11,3,23,25,59,80,20,3,24
"R_cwEUmBwJBVQo9kV","11",16,42,66,4,4,2,5,8,25,75,50,3,5
"R_cwEUmBwJBVQo9kV","4",30,51,70,3,4,2,5,41,62,80,70,2,5
"R_cwEUmBwJBVQo9kV","5",39,70,91,5,4,1,20,40,72,90,37,1,19
"R_cwEUmBwJBVQo9kV","6",22,52,78,5,5,2,8,22,52,78,10,2,8
"R_cwEUmBwJBVQo9kV","7",8,35,58,40,60,40,100,24,57,78,50,20,80
"R_cwEUmBwJBVQo9kV","8",25,57,74,600,600,200,2000,25,57,76,25,200,2000
"R_cwEUmBwJBVQo9kV","9",41,62,81,5,5,1,10,45,59,78,40,4,6
"R_djxPiLDC4iVE7Sl","1",71,85,97,9,6,2,20,37,65,86,72,3,27
"R_djxPiLDC4iVE7Sl","11",38,69,87,4,3,0,5,20,40,79,73,1,5
"R_djxPiLDC4iVE7Sl","4",9,24,45,3,4,2,6,15,45,96,93,1,5
"R_djxPiLDC4iVE7Sl","5",6,60,90,7,10,2,20,11,50,86,59,0,20
"R_djxPiLDC4iVE7Sl","6",10,40,70,6,7,0,10,20,50,80,2,0,10
"R_djxPiLDC4iVE7Sl","7",15,56,74,10,12,7,22,27,64,94,38,2,20
"R_djxPiLDC4iVE7Sl","8",40,66,92,10,600,400,800,29,59,90,5,5,20
"R_djxPiLDC4iVE7Sl","9",65,91,98,5,4,0,10,50,79,97,90,0,10
"R_e3buwKG77tJMdKd","1",17,44,75,10,11,6,15,11,45,77,30,3,15
"R_e3buwKG77tJMdKd","11",30,70,94,4,4,2,4,30,70,91,23,2,5
"R_e3buwKG77tJMdKd","4",27,45,60,5,3,1,6,49,28,56,30,1,6
"R_e3buwKG77tJMdKd","5",7,39,50,5,5,1,8,5,46,59,10,1,12
"R_e3buwKG77tJMdKd","6",20,29,59,30,6,2,10,70,29,50,30,5,40
"R_e3buwKG77tJMdKd","7",27,57,91,45,45,10,60,33,44,87,3,10,60
"R_e3buwKG77tJMdKd","8",28,53,73,45,35,30,45,28,52,92,35,30,75
"R_e3buwKG77tJMdKd","9",30,50,74,6,6,3,7,19,50,78,80,3,8
"R_eUJeK6CuOWINbI9","1",50,60,50,15,10,12,20,50,60,60,39,10,20
"R_eUJeK6CuOWINbI9","11",29,40,50,5,5,2,5,30,60,80,39,3,5
"R_eUJeK6CuOWINbI9","4",30,30,40,4,5,2,6,60,30,30,50,2,5
"R_eUJeK6CuOWINbI9","5",20,40,60,15,12,10,17,30,50,80,30,10,19
"R_eUJeK6CuOWINbI9","6",40,51,41,5,5,3,8,30,50,30,50,3,8
"R_eUJeK6CuOWINbI9","7",70,70,50,30,30,10,50,70,80,70,1,10,60
"R_eUJeK6CuOWINbI9","8",30,50,80,600,1000,700,1500,30,50,80,10,550,800
"R_eUJeK6CuOWINbI9","9",50,50,41,3,3,1,5,50,40,40,40,1,5
"R_eUQNCL5suKMV5Cl","1",14,35,75,18,19,14,23,18,37,76,52,13,22
"R_eUQNCL5suKMV5Cl","11",25,46,67,4,3,2,4,16,37,75,86,3,5
"R_eUQNCL5suKMV5Cl","4",15,36,55,4,5,3,5,20,57,81,65,2,5
"R_eUQNCL5suKMV5Cl","5",18,34,66,13,11,8,15,14,46,76,63,10,15
"R_eUQNCL5suKMV5Cl","6",1,3,5,7,8,6,10,2,4,7,38,4,9
"R_eUQNCL5suKMV5Cl","7",2,3,4,5,7,5,9,3,8,9,14,3,8
"R_eUQNCL5suKMV5Cl","8",25,46,54,8,9,7,10,37,66,85,66,6,10
"R_eUQNCL5suKMV5Cl","9",3,4,5,7,6,2,8,3,4,5,54,3,8
"R_eyxjF0lXt3QR1yd","1",90,93,97,15,10,5,15,80,90,96,70,10,20
"R_eyxjF0lXt3QR1yd","5",30,50,70,7,8,4,14,40,60,80,50,3,12
"R_eyxjF0lXt3QR1yd","6",30,40,50,6,7,4,8,30,50,60,30,3,8
"R_eyxjF0lXt3QR1yd","7",20,30,60,50,50,40,120,30,50,60,10,30,70
"R_eyxjF0lXt3QR1yd","8",30,70,90,500,500,400,600,20,60,80,60,400,600
