"V1","exp","Q18_1","Q18_2","Q18_3","Q22","Q23","Q24","Q25","Q26_1","Q26_2","Q26_3","Q39_1","Q62","Q63"
"R_3b0apUwIcH7Imyh","9",51,82,96,7,5,2,8,42,74,96,55,3,9
"R_3Pr5GJRK1PlmClD","1",50,70,90,5,5,2,15,70,85,90,20,0,15
"R_3Pr5GJRK1PlmClD","11",20,60,80,4,3,1,5,30,60,80,50,2,5
"R_3Pr5GJRK1PlmClD","4",1,35,99,3,3,2,4,0,35,99,60,2,4
"R_3Pr5GJRK1PlmClD","5",15,55,70,7,8,0,17,15,60,85,10,0,15
"R_3Pr5GJRK1PlmClD","7",40,80,90,5,5,3,10,25,80,90,25,3,10
"R_3Pr5GJRK1PlmClD","8",15,50,80,30,30,10,60,25,50,75,10,10,60
"R_3Pr5GJRK1PlmClD","9",15,80,90,3,3,1,10,30,70,90,50,1,9
"R_3ypN51380TcGKoZ","1",20,80,95,15,20,7,29,20,69,90,50,5,28
"R_3ypN51380TcGKoZ","11",10,80,95,4,3,1,5,30,80,90,60,2,5
"R_3ypN51380TcGKoZ","4",40,70,90,4,4,2,5,50,80,95,70,2,5
"R_3ypN51380TcGKoZ","5",30,50,80,7,8,3,15,10,70,85,60,3,13
"R_3ypN51380TcGKoZ","6",20,70,85,5,7,3,9,30,50,90,50,2,8
"R_3ypN51380TcGKoZ","7",30,70,90,30,30,5,60,30,70,90,50,5,60
"R_3ypN51380TcGKoZ","8",20,75,90,600,550,200,1400,20,70,90,60,300,1200
"R_3ypN51380TcGKoZ","9",70,80,90,3,3,1,7,70,80,90,30,1,6
"R_4TUJYZxBdEkikrb","1",30,70,100,10,9,1,20,30,80,95,5,1,20
"R_4TUJYZxBdEkikrb","11",70,100,100,5,4,4,5,95,100,100,75,4,5
"R_4TUJYZxBdEkikrb","5",20,50,60,5,6,2,12,15,50,70,25,1,10
"R_4TUJYZxBdEkikrb","6",20,70,95,6,6,3,9,30,80,95,10,2,9
"R_4TUJYZxBdEkikrb","7",25,70,100,15,15,1,30,30,60,95,25,5,30
"R_4TUJYZxBdEkikrb","8",60,95,100,15,10,5,25,50,90,100,50,5,20
"R_4TUJYZxBdEkikrb","9",20,50,75,5,5,1,6,20,50,70,75,1,6
"R_55um1u5tMIJsgJL","1",7,27,71,8,8,0,12,20,80,95,60,0,15
"R_55um1u5tMIJsgJL","11",40,70,80,4,3,1,5,40,65,80,75,2,5
"R_55um1u5tMIJsgJL","4",20,39,70,5,8,4,15,40,70,90,80,3,10
"R_55um1u5tMIJsgJL","5",10,40,70,12,15,5,20,20,50,80,90,2,17
"R_55um1u5tMIJsgJL","6",35,70,90,7,7,4,10,30,70,90,50,2,10
"R_55um1u5tMIJsgJL","7",30,60,81,30,30,10,45,25,45,80,30,10,50
"R_55um1u5tMIJsgJL","8",15,50,75,600,900,600,1200,40,65,90,80,250,1000
"R_55um1u5tMIJsgJL","9",15,35,70,4,4,1,7,20,45,80,80,1,7
"R_5AcOHkLCPsorLzT","1",65,80,95,10,6,3,10,40,60,85,60,5,13
"R_5AcOHkLCPsorLzT","11",50,80,95,5,3,1,4,20,30,50,60,2,5
"R_5AcOHkLCPsorLzT","4",50,80,95,4,2,2,4,10,30,80,80,3,5
"R_5AcOHkLCPsorLzT","5",20,30,50,4,10,5,12,70,80,90,70,2,6
"R_5AcOHkLCPsorLzT","6",25,50,70,5,6,3,7,30,50,60,10,3,7
"R_5AcOHkLCPsorLzT","7",50,70,100,30,25,5,30,10,71,90,30,10,60
"R_5AcOHkLCPsorLzT","8",30,60,80,300,300,200,600,25,30,80,50,200,600
"R_5AcOHkLCPsorLzT","9",30,50,71,6,6,3,8,35,44,70,50,3,8
"R_5aSaQIHJ74gyAgR","1",34,56,73,17,14,5,21,26,48,83,36,6,22
"R_5aSaQIHJ74gyAgR","5",35,63,77,11,6,2,11,25,40,55,25,4,14
"R_5aSaQIHJ74gyAgR","6",29,43,56,4,4,2,6,28,44,57,37,2,6
"R_5aSaQIHJ74gyAgR","8",74,88,93,410,87,42,150,38,58,81,63,120,830
"R_5aSaQIHJ74gyAgR","9",9,32,42,4,4,2,7,12,32,43,34,1,6
"R_6Gz7UDa4FcBXovX","1",15,26,46,10,20,15,19,34,58,30,34,9,15
"R_6Gz7UDa4FcBXovX","11",3,35,32,3,4,3,4,44,56,25,4,2,3
"R_6Gz7UDa4FcBXovX","4",33,32,32,1,10,5,12,25,25,25,34,2,2
"R_6Gz7UDa4FcBXovX","5",48,48,69,15,16,15,19,21,16,24,18,12,15
"R_6Gz7UDa4FcBXovX","6",44,44,44,7,9,9,9,28,27,28,44,7,7
"R_6Gz7UDa4FcBXovX","7",26,29,36,15,15,15,15,33,38,46,33,10,19
"R_6Gz7UDa4FcBXovX","8",26,28,27,10,100,100,100,51,52,49,44,10,10
"R_6Gz7UDa4FcBXovX","9",31,42,58,9,10,10,10,40,41,49,45,2,4
"R_6idhE5JaUvrtAMZ","1",57,63,79,6,6,3,2,58,70,93,69,2,2
"R_6idhE5JaUvrtAMZ","11",87,44,85,4,6,4,6,65,75,71,43,5,6
"R_6idhE5JaUvrtAMZ","4",65,79,55,3,3,5,5,74,64,79,75,2,5
"R_6idhE5JaUvrtAMZ","5",64,60,55,3,6,6,5,86,63,58,81,2,2
